"","id","city","region","first_choice","second_choice","would_not_use","gender","race","target","emotion","image_race","image_gender"
"62",20623511,"OH","Cleveland","Sadness","I don't know","Happiness","female","white","BM-029","Happiness","Black","Male"
"63",24552736,"SC","Wellford","Happiness","Neutral","Anger","female","white","BM-029","Happiness","Black","Male"
"64",35242242,"WV","Clarksburg","Anger","Disgust","Happiness","male","black","BM-043","Anger","Black","Male"
"65",45231609,"CA","Los Angeles","Disgust","Anger","Happiness","male","black","BM-043","Anger","Black","Male"
"66",45194254,"AZ","Phoenix","Anger","Disgust","Surprise","male","white","BM-043","Anger","Black","Male"
"67",31647060,"CA","Lakeport","Happiness","Happiness","I don't know","male","white","BM-043","Happiness","Black","Male"
"68",8261925,"NJ","Mount Arlington","Happiness","Neutral","Anger","female","white","BM-043","Happiness","Black","Male"
"69",30546629,"TX","Abilene","Happiness","Neutral","Anger","male","black","BM-043","Happiness","Black","Male"
"70",38170184,NA,NA,"Happiness","Neutral","Anger","female","white","BM-043","Happiness","Black","Male"
"71",45252560,"TN","Memphis","Happiness","Neutral","Anger","female","white","BM-043","Happiness","Black","Male"
"72",45259904,"CA","San Francisco","Happiness","Neutral","Disgust","male","black","BM-043","Happiness","Black","Male"
"73",39675153,"IN","Evansville","Happiness","Surprise","Disgust","female","white","BM-046","Happiness","Black","Male"
"74",6265353,"TN","Lewisburg","Happiness","Surprise","Sadness","male","black","BM-046","Happiness","Black","Male"
"75",7756990,"AZ","Mesa","Happiness","I don't know","Sadness","male","white","BM-046","Happiness","Black","Male"
"76",38806465,"AL","Ozark","Anger","Sadness","I don't know","female","white","BM-046","Anger","Black","Male"
"77",32807252,"TX","Dallas","Disgust","Anger","Happiness","male","black","BM-046","Anger","Black","Male"
"78",45159557,"VA","Alexandria","Anger","Disgust","Happiness","female","white","BM-046","Anger","Black","Male"
"79",6720676,"PA","Pittsburgh","Happiness","Surprise","Sadness","male","black","BM-046","Happiness","Black","Male"
"80",21436206,"IL","Chicago","Happiness","I don't know","Sadness","female","white","BM-046","Happiness","Black","Male"
"81",41193378,"MN","Waseca","Happiness","Happiness","Anger","male","black","BM-046","Happiness","Black","Male"
"82",45259832,"TX",NA,"Disgust","Surprise","Happiness","female","white","BM-046","Fear","Black","Male"
"83",30783876,"NH","Keene","Surprise","Disgust","Happiness","female","white","BM-046","Fear","Black","Male"
"84",32929382,"TN","Clinton","Disgust","Surprise","Happiness","female","white","BM-046","Fear","Black","Male"
"85",43783600,"OK","Lawton","Happiness","Surprise","Anger","male","black","BM-013","Happiness","Black","Male"
"86",45305299,"NJ","Parsippany","Happiness","Surprise","Anger","male","black","BM-013","Happiness","Black","Male"
"87",17403743,"VA","Richmond","Happiness","Neutral","Anger","female","white","BM-013","Happiness","Black","Male"
"88",45198712,"NY","New York","Happiness","Happiness","Disgust","male","black","BM-013","Happiness","Black","Male"
"89",31948170,NA,NA,"Surprise","Happiness","Anger","female","white","BM-013","Happiness","Black","Male"
"90",21956458,"MN","Thief River Falls","Happiness","Surprise","Sadness","female","white","BM-013","Happiness","Black","Male"
"91",13991797,"SC","Goose Creek","Anger","Disgust","Happiness","female","white","BM-013","Anger","Black","Male"
"92",30188660,"MI","Lansing","Anger","Sadness","Neutral","female","white","BM-013","Anger","Black","Male"
"93",6331127,"AZ","Peoria","Disgust","Anger","Happiness","male","white","BM-013","Anger","Black","Male"
"94",45133752,"MS","Tupelo","Surprise","Fear","Happiness","male","latino","BM-013","Fear","Black","Male"
"95",29712246,"FL","Fort Myers","Surprise","Fear","Happiness","female","latino","BM-013","Fear","Black","Male"
"96",21017840,"MD","Gaithersburg","Surprise","Fear","Neutral","male","other","BM-013","Fear","Black","Male"
"97",45238881,"CA","Los Angeles","Surprise","Surprise","Disgust","male","black","BM-028","Fear","Black","Male"
"98",44986194,"OH","Youngstown","Surprise","Fear","Anger","male","white","BM-028","Fear","Black","Male"
"99",45238899,"CA","Los Angeles","Surprise","Fear","Anger","male","black","BM-028","Fear","Black","Male"
"100",45184723,"CA","San Francisco","Happiness","Happiness","Sadness","male","black","BM-028","Happiness","Black","Male"
"101",44098935,"MS","Oxford","Neutral","Happiness","Anger","female","white","BM-028","Happiness","Black","Male"
"102",29738307,"AZ","Phoenix","Happiness","Neutral","Disgust","female","white","BM-028","Happiness","Black","Male"
"103",1890003,"NY","New York","Sadness","Anger","Happiness","female","white","BM-028","Anger","Black","Male"
"104",16278923,"OH","New Philadelphia","Anger","Disgust","Happiness","female","white","BM-028","Anger","Black","Male"
"105",45238856,"CA","Los Angeles","Anger","Anger","Happiness","male","black","BM-028","Anger","Black","Male"
"106",45186868,"CO","Colorado Springs","Happiness","Fear","Anger","female","white","BM-028","Happiness","Black","Male"
"107",22850156,"IL","Alton","Happiness","Fear","Anger","male","white","BM-028","Happiness","Black","Male"
"108",6367365,"LA","Monroe","Happiness","Neutral","Disgust","female","white","BM-028","Happiness","Black","Male"
"109",1853530,"TN","Nashville","Happiness","Surprise","Disgust","female","white","BM-037","Happiness","Black","Male"
"110",6579519,"OH","Centerburg","Happiness","Surprise","Anger","female","white","BM-037","Happiness","Black","Male"
"111",34824899,NA,NA,"Happiness","I don't know","Disgust","female","white","BM-037","Happiness","Black","Male"
"112",43822436,"MA","Worcester","Surprise","Anger","Neutral","female","white","BM-037","Anger","Black","Male"
"113",29301997,"MI","Lapeer","Anger","Disgust","Happiness","female","white","BM-037","Anger","Black","Male"
"114",45227964,"NV","Las Vegas","Disgust","Anger","Happiness","female","white","BM-037","Anger","Black","Male"
"115",45271988,"TN","Murfreesboro","Happiness","Happiness","Anger","male","white","BM-037","Happiness","Black","Male"
"116",19071007,"IA","Des Moines","Happiness","Neutral","Anger","female","white","BM-037","Happiness","Black","Male"
"117",40701807,"AZ","Tucson","Happiness","Surprise","Sadness","male","white","BM-037","Happiness","Black","Male"
"118",38202325,"ME","Limestone","Fear","Surprise","Neutral","female","black","BM-037","Fear","Black","Male"
"119",6377879,"IA","Council Bluffs","Fear","Fear","Happiness","male","black","BM-037","Fear","Black","Male"
"120",44375197,"NC","Mooresville","Fear","Disgust","Fear","male","black","BM-037","Fear","Black","Male"
"121",6341779,"NY","Brockport","Anger","Disgust","Happiness","female","white","BM-038","Anger","Black","Male"
"122",45238882,"CA","Los Angeles","Anger","Disgust","Happiness","male","black","BM-038","Anger","Black","Male"
"123",45238472,"CA","Los Angeles","Anger","Anger","Happiness","male","black","BM-038","Anger","Black","Male"
"124",44803326,"NY","Bronx","Happiness","Neutral","Sadness","female","black","BM-038","Happiness","Black","Male"
"125",45312428,"NY","New York","Happiness","Happiness","Happiness","male","black","BM-038","Happiness","Black","Male"
"126",12971342,"CA","Glendale","Happiness","Happiness","Anger","female","white","BM-038","Happiness","Black","Male"
"127",41545007,"NV","Las Vegas","Happiness","Neutral","Disgust","female","white","BM-038","Happiness","Black","Male"
"128",1905769,"TX","Dallas","Happiness","Happiness","Anger","male","asian","BM-038","Happiness","Black","Male"
"129",39147083,"NJ","Maple Shade","Happiness","Happiness","Sadness","male","white","BM-038","Happiness","Black","Male"
"130",44212183,"TX","Irving","Surprise","Fear","Happiness","female","white","BM-038","Fear","Black","Male"
"131",2034278,"NJ","Toms River","Surprise","Fear","Happiness","male","white","BM-038","Fear","Black","Male"
"132",34609243,NA,NA,"Fear","Disgust","Happiness","female","white","BM-038","Fear","Black","Male"
"133",30726390,"NY","Ridgewood","Anger","Disgust","Happiness","female","white","BM-003","Anger","Black","Male"
"134",9337207,"MA","Chicopee","Anger","Disgust","Happiness","female","white","BM-003","Anger","Black","Male"
"135",45175962,"DE","Claymont","Anger","Anger","Happiness","male","black","BM-003","Anger","Black","Male"
"136",5861591,"OH","Youngstown","Fear","Surprise","Happiness","female","white","BM-003","Fear","Black","Male"
"137",42490908,"OH","Marietta","Fear","Surprise","Happiness","male","black","BM-003","Fear","Black","Male"
"138",43498762,"SD","Brandon","Surprise","Anger","Happiness","male","white","BM-003","Fear","Black","Male"
"139",1944668,"IN","Evansville","Happiness","Surprise","Anger","female","white","BM-003","Happiness","Black","Male"
